,사업장명,카페이름
0,고산3동 라이크유,우주라이크커피 경산점
1,남산4동 말그미옥상,말그미옥상
2,대명3동 코너커피,코너커피
3,남산4동 줄라이모닝,줄라이모닝
4,대명6동 카페로커피,카페로커피
5,대명4동 앰프티커피,엠프티커피
6,대명4동 다올,다올
7,봉덕3동 프렌네,카페 프렌네
8,파동 커피온니두,커피온니두
9,대명11동 소소우드,소소우드
10,대명9동 퍼스널스커피,퍼스널스커피
11,대명1동 오마모리,오마모리 앞산
12,대명9동 강낭시에,강낭시에
13,대명9동 마리아쥬커피,마리아쥬커피
14,대명1동 앞산커피하우스,앞산커피하우스
15,대명1동 파스쿠찌 대구앞산정은점,파스쿠찌 대구앞산점
16,대명6동 즉흥적인,앞산 즉흥적인 카페
17,대명10동 핸즈커피 써니킨점,핸즈커피 써니킨점
18,대명4동 캔버스커피 대명역점,캔버스커피 대명역점
19,대명10동 로우시티,로우시티 Row City coffeebar
20,대명1동 카페노브,노브 대명점
21,대명1동 이디야커피 대구드림병원점,이디야커피 대구드림병원점
22,대명11동 카페엠트리 서부점,카페엠트리 서부점
23,대명1동 몬스터커피 안지랑점,몬스터커피 안지랑점
24,대명9동 카페봄봄 안지랑점,카페봄봄 안지랑점
25,대명1동 카페달달,카페달달
26,대명1동 카페유럽,카페유럽
27,대명6동 카페 늘,카페 늘
28,대명5동 카페1052,카페1052
29,대명5동 포프커피,포프커피
30,대명5동 카페인중독 대구영대병원점,카페인중독 대구영대병원점
31,봉덕3동 아킨니,아킨니
32,대명11동 몬스터커피 대명점,몬스터커피 대명점
33,대명10동 더리터 대명역점,더리터 대명역점
34,대명4동 파스쿠찌 대구대명역점,파스쿠찌 대구대명역점
35,대명6동 가이아,가이아커피
36,대명11동 카페오슬링(Osling),카페 오슬링
37,대명6동 또다,또다
38,대명10동 비아또,비아또
39,대명1동 카페점보,카페점보 본점
40,대명9동 이집,이집
41,대명1동 159센티미터,159센티미터
42,대명1동 어름,어름(Ur'm)
43,대명9동 셀파파,셀파파
44,대명5동 포밍고,포밍고
45,대명5동 쉼표,쉼표플라워
46,대명5동 팔공티 대구영대병원점,팔공티 영대병원점
47,대명5동 캔버스 영남이공대점,캔버스 영남이공대점
48,대명4동 마시다,마시다
49,대명4동 카페몬트,카페 몬트
50,대명10동 뜰,뜰
51,송현1동 몬딘,몬딘커피
